HGNC ID	Approved symbol	Approved name	Previous symbols	Alias symbols	Accession numbers	RefSeq IDs
HGNC:50481	NARS1P2	asparaginyl-tRNA synthetase 1 pseudogene 2	NARSP2			
HGNC:26274	NARS2	asparaginyl-tRNA synthetase 2, mitochondrial	DFNB94	FLJ23441, SLM5	BC007800	NM_024678
HGNC:58264	NARS2-AS1	NARS2 antisense RNA 1				
HGNC:7644	NASP	nuclear autoantigenic sperm protein		FLB7527, FLJ31599, FLJ35510, MGC19722, MGC20372, MGC2297, DKFZp547F162, PRO1999	M97856	NM_002482
HGNC:29910	NASPP1	nuclear autoantigenic sperm protein pseudogene 1				NG_002431
HGNC:7645	NAT1	N-acetyltransferase 1	AAC1		BC047666	NM_000662
HGNC:7646	NAT2	N-acetyltransferase 2	AAC2		D90042	NM_000015
HGNC:18069	NAT8	N-acetyltransferase 8 (putative)		Hcml1, TSC501, GLA, ATase2	AB013094	NM_003960
HGNC:30235	NAT8B	N-acetyltransferase 8B (putative, gene/pseudogene)		Hcml2, NAT8BP, CML2	BC069564	NM_016347
HGNC:26742	NAT8L	N-acetyltransferase 8 like		FLJ37478, Hcml3, Shati	AK094797	NM_178557
HGNC:23133	NAT9	N-acetyltransferase 9		DKFZP564C103	AK123115	NM_015654
HGNC:29830	NAT10	N-acetyltransferase 10		hALP, FLJ10774, FLJ12179, NET43, KIAA1709, Kre33	AF489535	NM_024662
HGNC:28918	NAT14	N-acetyltransferase 14 (putative)		KLP1	AB055059	NM_020378
HGNC:22030	NAT16	N-acetyltransferase 16 (putative)	C7orf52	FLJ39237	AK096556	NM_198571
HGNC:30770	NATD1	N-acetyltransferase domain containing 1	C17orf103	MGC33894, Gtlf3b	BC029527	NM_152914
HGNC:15	NATP	N-acetyltransferase pseudogene	AACP	NATP1	X17060	
HGNC:15989	NAV1	neuron navigator 1		FLJ12560, FLJ14203, KIAA1151, MGC14961, POMFIL3, steerin-1, DKFZp781D0314	AF086348	NM_020443
HGNC:15997	NAV2	neuron navigator 2		FLJ10633, FLJ11030, HELAD1, KIAA1419, POMFIL2, RAINB1, FLJ23707	AB037840	NM_145117
HGNC:40744	NAV2-AS1	NAV2 antisense RNA 1				
HGNC:40743	NAV2-AS2	NAV2 antisense RNA 2				
HGNC:40742	NAV2-AS3	NAV2 antisense RNA 3				
HGNC:40741	NAV2-AS4	NAV2 antisense RNA 4				
HGNC:40740	NAV2-AS5	NAV2 antisense RNA 5				
HGNC:41416	NAV2-IT1	NAV2 intronic transcript 1				
HGNC:15998	NAV3	neuron navigator 3		KIAA0938, POMFIL1	AB023155	NM_001024383
HGNC:58287	NAV3-AS1	NAV3 antisense RNA 1				
HGNC:25576	NAXD	NAD(P)HX dehydratase	CARKD	LP3298, FLJ10769	AF151071	NM_018210
HGNC:56341	NAXD-AS1	NAXD antisense RNA 1		AL139385.1		
HGNC:18453	NAXE	NAD(P)HX epimerase	APOA1BP	AIBP, MGC119143, MGC119144, MGC119145, YJEFN1	AJ315849	NM_144772
HGNC:15625	NBAS	NBAS subunit of NRZ tethering complex		NAG	BC051792	NM_015909
HGNC:49075	NBAT1	neuroblastoma associated transcript 1	CASC14	NBAT-1		NR_034143
HGNC:7647	NBCCS	symbol withdrawn, see [HGNC:9585](/data/gene-symbol-report/#!/hgnc_id/HGNC:9585)				
HGNC:50713	NBDY	negative regulator of P-body association	LINC01420	NoBody	BC048131	NM_001348129
HGNC:7648	NBEA	neurobeachin		KIAA1544, BCL8B, FLJ10197, LYST2	AF467288	NM_015678
HGNC:39908	NBEA-AS1	NBEA antisense RNA 1				
HGNC:20681	NBEAL1	neurobeachin like 1	ALS2CR17, ALS2CR16	MGC164581	AY172970	NM_001114132
HGNC:31928	NBEAL2	neurobeachin like 2		KIAA0540	AB011112	NM_015175
HGNC:1007	NBEAP1	neurobeachin pseudogene 1	BCL8	BCL8A		NR_027992
HGNC:40003	NBEAP2	neurobeachin pseudogene 2		BCL8D		NG_023729
HGNC:40004	NBEAP3	neurobeachin pseudogene 3		BCL8C		NG_027403
HGNC:40009	NBEAP4	neurobeachin pseudogene 4				NG_025284
HGNC:40010	NBEAP5	neurobeachin pseudogene 5				
HGNC:40011	NBEAP6	neurobeachin pseudogene 6				NG_027320
HGNC:7649	NBIA1	symbol withdrawn, see [HGNC:15894](/data/gene-symbol-report/#!/hgnc_id/HGNC:15894)		HSS, FLJ11729, PKAN		
HGNC:7650	NBL1	NBL1, DAN family BMP antagonist		D1S1733E, NB, DAN, NO3, DAND1		NM_005380
HGNC:7652	NBN	nibrin	NBS, NBS1	ATV, AT-V2, AT-V1	AF058696	NM_001024688
HGNC:7651	NBP1	symbol withdrawn, see [HGNC:8041](/data/gene-symbol-report/#!/hgnc_id/HGNC:8041)				
HGNC:26088	NBPF1	NBPF member 1		FLJ20719, KIAA1693	AB051480	NM_017940
HGNC:31987	NBPF2P	NBPF member 2, pseudogene				
HGNC:25076	NBPF3	NBPF member 3		AE2	BC024011	NM_032264
HGNC:26550	NBPF4	NBPF member 4		FLJ32833	AK057395	NM_152488
HGNC:24491	NBPF5P	NBPF member 5, pseudogene	NBPF5		BC043522	NG_028895
HGNC:31988	NBPF6	NBPF member 6				NM_001143988
HGNC:31989	NBPF7P	NBPF member 7, pseudogene	NBPF7			NR_171566
HGNC:31990	NBPF8	NBPF member 8	NBPF8P		AY894572	NM_001037501
HGNC:31991	NBPF9	NBPF member 9		AE01		NM_001037675
HGNC:31992	NBPF10	NBPF member 10		AG1	BC021111	NM_001039703
HGNC:31993	NBPF11	NBPF member 11	NBPF24			NM_183372
HGNC:24297	NBPF12	NBPF member 12	KIAA1245	COAS1	BG154169	NM_001278141
HGNC:31995	NBPF13P	NBPF member 13, pseudogene				
HGNC:25232	NBPF14	NBPF member 14		DJ328E19.C1.1	AK092351	NM_015383
HGNC:28791	NBPF15	NBPF member 15	NBPF16	MGC8902	BC023087	NM_173638
HGNC:31996	NBPF16	symbol withdrawn, see [HGNC:28791](/data/gene-symbol-report/#!/hgnc_id/HGNC:28791)				
HGNC:31997	NBPF17P	NBPF member 17, pseudogene	NBPF23P, NBPF23			
HGNC:31998	NBPF18P	NBPF member 18, pseudogene				
HGNC:31999	NBPF19	NBPF member 19				
HGNC:32000	NBPF20	NBPF member 20				
HGNC:32001	NBPF21P	NBPF member 21, pseudogene				XM_497917
HGNC:28731	NBPF22P	NBPF member 22, pseudogene		MGC48637	BC050328	XM_208333
HGNC:37075	NBPF23P	symbol withdrawn, see [HGNC:31997](/data/gene-symbol-report/#!/hgnc_id/HGNC:31997)	NBPF23			
HGNC:27299	NBPF24	symbol withdrawn, see [HGNC:31993](/data/gene-symbol-report/#!/hgnc_id/HGNC:31993)				
HGNC:45046	NBPF25P	NBPF member 25, pseudogene				
HGNC:49571	NBPF26	NBPF member 26				
HGNC:6746	NBR1	NBR1 autophagy cargo receptor	M17S2	CA125, KIAA0049, 1A1-3B	X76952	NM_005899
HGNC:20691	NBR2	neighbor of BRCA1 lncRNA 2		NCRNA00192	U88573	NR_003108
HGNC:7653	NCA	symbol withdrawn, see [HGNC:1818](/data/gene-symbol-report/#!/hgnc_id/HGNC:1818)				
HGNC:7654	NCAD	symbol withdrawn, see [HGNC:1759](/data/gene-symbol-report/#!/hgnc_id/HGNC:1759)				
HGNC:56663	NCAL1	NK cell activity associated lncRNA 1				
HGNC:7655	NCALD	neurocalcin delta			AF052142	
HGNC:7656	NCAM1	neural cell adhesion molecule 1		NCAM, CD56		NM_000615
HGNC:48675	NCAM1-AS1	NCAM1 antisense RNA 1				
HGNC:58155	NCAM1-AS2	NCAM1 antisense RNA 2		RP11-629G13.1		
HGNC:7657	NCAM2	neural cell adhesion molecule 2		NCAM21, MGC51008		NM_004540
HGNC:2465	NCAN	neurocan	CSPG3		AF026547	NM_004386
HGNC:24305	NCAPD2	non-SMC condensin I complex subunit D2		CNAP1, hCAP-D2, CAP-D2, KIAA0159	D63880	NM_014865
HGNC:43831	NCAPD2P1	non-SMC condensin I complex subunit D2 pseudogene 1				NG_026451
HGNC:28952	NCAPD3	non-SMC condensin II complex subunit D3		hCAP-D3, CAP-D3, hHCP-6, KIAA0056, FLJ42888, hcp-6	AK124878	NM_015261
HGNC:24304	NCAPG	non-SMC condensin I complex subunit G		FLJ12450, hCAP-G, CAP-G, YCG1	AF331796	NM_022346
HGNC:21904	NCAPG2	non-SMC condensin II complex subunit G2	LUZP5	FLJ20311, MTB, CAP-G2, hCAP-G2	BC043404	NM_017760
HGNC:51904	NCAPGP1	non-SMC condensin I complex subunit G pseudogene 1				
HGNC:51905	NCAPGP2	non-SMC condensin I complex subunit G pseudogene 2				
HGNC:1112	NCAPH	non-SMC condensin I complex subunit H	BRRN1	CAP-H, hCAP-H, NCAPH1	BC024211	NM_015341
HGNC:25071	NCAPH2	non-SMC condensin II complex subunit H2		384D8-2, hCAP-H2, CAP-H2	BC001937	NM_152299
HGNC:7658	NCBP1	nuclear cap binding protein subunit 1	NCBP	CBP80, Sto1	BC001450	NM_002486
HGNC:7659	NCBP2	nuclear cap binding protein subunit 2		NIP1, CBP20, Cbc2	D59253	NM_007362
HGNC:40392	NCBP2-AS1	NCBP2 antisense RNA 1				
HGNC:25121	NCBP2AS2	NCBP2 antisense 2 (head to head)	NCBP2-AS2	HIAR, KRASIM	BC007882	NM_138487
HGNC:31795	NCBP2L	nuclear cap binding protein subunit 2 like				NM_001348372
HGNC:24612	NCBP3	nuclear cap binding subunit 3	C17orf85	HSA277841, ELG		NM_018553
HGNC:33739	NCCRP1	NCCRP1, F-box associated domain containing		LOC342897, NCCRP-1, FBXO50	AK123941, BC067874	NM_001001414
HGNC:17597	NCDN	neurochondrin		NCDN-1, NCDN-2	AB011179	NM_014284
HGNC:29260	NCEH1	neutral cholesterol ester hydrolase 1	AADACL1	KIAA1363, NCEH	AB037784	NM_020792
HGNC:7660	NCF1	neutrophil cytosolic factor 1		p47phox, NOXO2, NCF1A, SH3PXD1A	M25665	NM_000265
HGNC:32522	NCF1B	neutrophil cytosolic factor 1B (pseudogene)		SH3PXD1B		NR_003186
HGNC:32523	NCF1C	neutrophil cytosolic factor 1C (pseudogene)		SH3PXD1C		NR_003187
HGNC:7661	NCF2	neutrophil cytosolic factor 2		p67phox, NOXA2	BC001606	NM_000433
HGNC:7662	NCF4	neutrophil cytosolic factor 4		p40phox, SH3PXD4	X77094	NM_000631
HGNC:40393	NCF4-AS1	NCF4 antisense RNA 1		CTA-833B7.2		
HGNC:7663	NCK	symbol withdrawn, see [HGNC:7664](/data/gene-symbol-report/#!/hgnc_id/HGNC:7664)				
HGNC:7664	NCK1	NCK adaptor protein 1	NCK	NCKalpha	X17576	NM_006153
HGNC:49645	NCK1-DT	NCK1 divergent transcript	NCK1-AS1	SLC35G2-AS1		NR_110175
HGNC:7665	NCK2	NCK adaptor protein 2		NCKbeta	AF043119	NM_003581
HGNC:40394	NCK2-AS1	NCK2 antisense RNA 1				
HGNC:7666	NCKAP1	NCK associated protein 1		Nap1, HEM2, NAP125	AB014509	NM_205842
HGNC:4862	NCKAP1L	NCK associated protein 1 like	HEM1		AI924363	NM_005337
HGNC:55028	NCKAP1P1	NCKAP1 pseudogene 1				NG_033245
HGNC:29847	NCKAP5	NCK associated protein 5		NAP5, ERIH1, ERIH2	AB005217	NM_207481
HGNC:41246	NCKAP5-AS1	NCKAP5 antisense RNA 1				NR_135572
HGNC:54065	NCKAP5-AS2	NCKAP5 antisense RNA 2				NR_110294
HGNC:41497	NCKAP5-IT1	NCKAP5 intronic transcript 1				
HGNC:29321	NCKAP5L	NCK associated protein 5 like	KIAA1602		AB046822	NM_001037806
HGNC:15486	NCKIPSD	NCK interacting protein with SH3 domain		AF3P21, SPIN90, ORF1, WISH, WASLBP, DIP1	AF178432	NM_016453
HGNC:7667	NCL	nucleolin		C23, Nsr1		NM_005381
HGNC:26923	NCLN	nicalin		NICALIN, NET59	BC025926	NM_020170
HGNC:35472	NCLP1	nucleolin pseudogene 1				NG_012793
HGNC:35473	NCLP2	nucleolin pseudogene 2		bA85L21.1		NG_016573
HGNC:29332	NCMAP	non-compact myelin associated protein	C1orf130	FLJ42528, MP11	AK124519	NM_001010980
HGNC:54327	NCMAP-DT	symbol withdrawn, see [HGNC:39009](/data/gene-symbol-report/#!/hgnc_id/HGNC:39009)				
HGNC:7668	NCOA1	nuclear receptor coactivator 1		SRC1, F-SRC-1, NCoA-1, KAT13A, RIP160, bHLHe74	U40396	NM_147223
HGNC:7669	NCOA2	nuclear receptor coactivator 2		TIF2, GRIP1, NCoA-2, KAT13C, bHLHe75	X97674	
HGNC:7670	NCOA3	nuclear receptor coactivator 3		RAC3, AIB1, ACTR, p/CIP, TRAM-1, CAGH16, TNRC16, KAT13B, bHLHe42, SRC-3, SRC3	AF012108	NM_006534
HGNC:7671	NCOA4	nuclear receptor coactivator 4		ARA70, RFG, ELE1, PTC3, DKFZp762E1112	L49399	NM_005437
HGNC:20022	NCOA4P1	nuclear receptor coactivator 4 pseudogene 1	NCOA4P			NG_002594
HGNC:52403	NCOA4P2	nuclear receptor coactivator 4 pseudogene 2				
HGNC:52404	NCOA4P3	nuclear receptor coactivator 4 pseudogene 3				
HGNC:52405	NCOA4P4	nuclear receptor coactivator 4 pseudogene 4				
HGNC:15909	NCOA5	nuclear receptor coactivator 5		bA465L10.6, CIA		NM_020967
HGNC:55095	NCOA5LP	nuclear receptor coactivator 5 like, pseudogene				
HGNC:15936	NCOA6	nuclear receptor coactivator 6		KIAA0181, RAP250, ASC2, AIB3, PRIP, TRBP, NRC	AF128458	NM_014071
HGNC:21081	NCOA7	nuclear receptor coactivator 7		ERAP140, dJ187J11.3, TLDC4	AJ420542	NM_001199619
HGNC:40954	NCOA7-AS1	NCOA7 antisense RNA 1			AW444508	
HGNC:7672	NCOR1	nuclear receptor corepressor 1		N-CoR, hCIT529I10, TRAC1, hN-CoR, KIAA1047, MGC104216, PPP1R109	AF044209	NM_006311
HGNC:16724	NCOR1P1	NCOR1 pseudogene 1	C20orf191	bB329D4.2	AL391119	
HGNC:42997	NCOR1P2	NCOR1 pseudogene 2				
HGNC:42996	NCOR1P3	NCOR1 pseudogene 3				
HGNC:54557	NCOR1P4	NCOR1 pseudogene 4				
HGNC:7673	NCOR2	nuclear receptor corepressor 2		SMRT, SMRTE, TRAC-1, CTG26, TNRC14	U37146	NM_006312
HGNC:6731	NCR1	natural cytotoxicity triggering receptor 1	LY94	NK-p46, NKP46, CD335	AJ001383	
HGNC:6732	NCR2	natural cytotoxicity triggering receptor 2	LY95	NK-p44, CD336	AJ225109	
HGNC:19077	NCR3	natural cytotoxicity triggering receptor 3	LY117	1C7, NKp30, CD337	AB055881	
HGNC:42400	NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1		DKFZp686O24166, B7-H6		NM_001202439
HGNC:31844	NCRNA00055	non-protein coding RNA 55	CXYorf9	OTTHUMG00000021054		
HGNC:31846	NCRNA00056	non-protein coding RNA 56	CXorf47	OTTHUMG00000021958		
HGNC:31390	NCRNA00090	non-protein coding RNA 90		bA548K23.5		
HGNC:31842	NCRNA00091	non-protein coding RNA 91	CXYorf7	OTTHUMG00000021062, ENSESTG00000011457		
HGNC:1261	NCRNA00098	non-protein coding RNA 98	C21orf20			
HGNC:18074	NCRNA00103	symbol withdrawn, see [HGNC:7083](/data/gene-symbol-report/#!/hgnc_id/HGNC:7083)	CXYorf12			
HGNC:31841	NCRNA00104	non-protein coding RNA 104	CXYorf6			
HGNC:18566	NCRNA00185	symbol withdrawn, see [HGNC:18495](/data/gene-symbol-report/#!/hgnc_id/HGNC:18495)	CYorf14	PRO2834		
HGNC:20158	NCRNA00220	symbol withdrawn, see [HGNC:32545](/data/gene-symbol-report/#!/hgnc_id/HGNC:32545)	C14orf95			
HGNC:24095	NCRNA00250	non-protein coding RNA 250	C8orf24			
HGNC:38001	NCRNA00270	non-protein coding RNA 270				
HGNC:38533	NCRNA00270B	non-protein coding RNA 270B				
HGNC:19830	NCRNA00291	symbol withdrawn, see [HGNC:19739](/data/gene-symbol-report/#!/hgnc_id/HGNC:19739)	C14orf25			
HGNC:37153	NCRUPAR	non-protein coding RNA, upstream of F2R/PAR1		ncR-uPAR, NCRNA00193		NR_028375
HGNC:3953	NCS1	neuronal calcium sensor 1	FREQ	NCS-1	AF186409	NM_014286
HGNC:17091	NCSTN	nicastrin		KIAA0253, APH2	AF240468	NM_015331
HGNC:39606	NCSTNP1	nicastrin pseudogene 1				
HGNC:7674	NCX1	symbol withdrawn, see [HGNC:11068](/data/gene-symbol-report/#!/hgnc_id/HGNC:11068)				
HGNC:25525	NDC1	NDC1 transmembrane nucleoporin	TMEM48	FLJ10407, NET3	AL354613	NM_018087
HGNC:16909	NDC80	NDC80 kinetochore complex component	KNTC2	HEC, HEC1, hsNDC80, TID3	AF017790	NM_006101
HGNC:17619	NDE1	nudE neurodevelopment protein 1		nudE, FLJ20101, NDE	AF124431	NM_017668
HGNC:49115	NDE1P1	nudE neurodevelopment protein 1 pseudogene 1				
HGNC:49116	NDE1P2	nudE neurodevelopment protein 1 pseudogene 2				
HGNC:17620	NDEL1	nudE neurodevelopment protein 1 like 1		NUDEL, MITAP1, NDE1L1, NDE2	AF182078	NM_030808
HGNC:17592	NDFIP1	Nedd4 family interacting protein 1		N4WBP5, MGC10924	BC004317	NM_030571
HGNC:49866	NDFIP1P1	Nedd4 family interacting protein 1 pseudogene 1				
HGNC:18537	NDFIP2	Nedd4 family interacting protein 2		KIAA1165, N4wbp5a	AB032991	
HGNC:40844	NDFIP2-AS1	NDFIP2 antisense RNA 1				
HGNC:7675	NDN	necdin, MAGE family member		HsT16328, PWCR	U35139	NM_002487
HGNC:26256	NDNF	neuron derived neurotrophic factor	C4orf31	FLJ23191	BC019351	NM_024574
HGNC:55553	NDNF-AS1	NDNF antisense RNA 1				
HGNC:7676	NDNL1	symbol withdrawn, see [HGNC:6814](/data/gene-symbol-report/#!/hgnc_id/HGNC:6814)				
HGNC:29838	NDOR1	NADPH dependent diflavin oxidoreductase 1		NR1, bA350O14.9, CIAE1	BC015735	NM_014434
HGNC:7678	NDP	norrin cystine knot growth factor NDP	EVR2	norrin	X65882	NM_000266
HGNC:40395	NDP-AS1	NDP antisense RNA 1				
HGNC:7679	NDRG1	N-myc downstream regulated 1	CAP43	DRG1, RTP, TDD5, NDR1	X92845	
HGNC:14460	NDRG2	NDRG family member 2		KIAA1248, SYLD	AB033074	
HGNC:14462	NDRG3	NDRG family member 3			AL031662	
HGNC:14466	NDRG4	NDRG family member 4		KIAA1180, SMAP-8	AB044947	
HGNC:7680	NDST1	N-deacetylase and N-sulfotransferase 1	HSST	NST1	U18918	NM_001543
HGNC:52899	NDST1-AS1	NDST1 antisense RNA 1				NR_105061
HGNC:7681	NDST2	N-deacetylase and N-sulfotransferase 2		NST2, HSST2	U36601	NM_003635
HGNC:7682	NDST3	N-deacetylase and N-sulfotransferase 3		HSST3	AF074924	NM_004784
HGNC:20779	NDST4	N-deacetylase and N-sulfotransferase 4			AB036429	NM_022569
HGNC:7683	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1		MWFE, CI-MWFE		NM_004541
HGNC:7685	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2		B8	AF047185	NM_002488
HGNC:7686	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3		B9	AF044955	NM_004542
HGNC:45043	NDUFA3P1	NADH:ubiquinone oxidoreductase subunit A3 pseudogene 1				NG_030059
HGNC:45051	NDUFA3P2	NADH:ubiquinone oxidoreductase subunit A3 pseudogene 2				
HGNC:45052	NDUFA3P3	NADH:ubiquinone oxidoreductase subunit A3 pseudogene 3				NG_030212
HGNC:45053	NDUFA3P4	NADH:ubiquinone oxidoreductase subunit A3 pseudogene 4				
HGNC:45054	NDUFA3P5	NADH:ubiquinone oxidoreductase subunit A3 pseudogene 5				
HGNC:45055	NDUFA3P6	NADH:ubiquinone oxidoreductase subunit A3 pseudogene 6				
HGNC:7687	NDUFA4	NDUFA4 mitochondrial complex associated		MLRQ, CI-9k, COXFA4, MRCAF1, MISTR1	U94586	NM_002489
HGNC:29836	NDUFA4L2	NDUFA4 mitochondrial complex associated like 2		NUOMS, FLJ26118, COXFA4L2, MISTRH	BC011910	NM_020142
HGNC:29835	NDUFA4P1	NDUFA4 pseudogene 1			AF206638	NG_002998
HGNC:31362	NDUFA4P2	NDUFA4 pseudogene 2	NDUFA4L	bcm1723		
HGNC:7688	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5		B13, NUFM, CI-13KD-B, UQOR13, CI-13kB		NM_005000
HGNC:7689	NDUFA5P1	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 1				
HGNC:48855	NDUFA5P2	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 2				
HGNC:48845	NDUFA5P3	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 3				
HGNC:48846	NDUFA5P4	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 4				
HGNC:48847	NDUFA5P5	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 5				
HGNC:48848	NDUFA5P6	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 6				
HGNC:48849	NDUFA5P7	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 7				
HGNC:48850	NDUFA5P8	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 8				
HGNC:48851	NDUFA5P9	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 9				
HGNC:48852	NDUFA5P10	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 10				
HGNC:48853	NDUFA5P11	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 11				
HGNC:48854	NDUFA5P12	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 12				
HGNC:7690	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6		B14, LYRM6, CI-B14, NADHB14	AF047182	NM_002490
HGNC:45273	NDUFA6-DT	NDUFA6 divergent transcript	NDUFA6-AS1		BC039542	NR_034118
HGNC:7691	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7		B14.5a	AF050637	NM_005001
HGNC:7692	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8		PGIV, MGC793	AF044953	NM_014222
HGNC:52264	NDUFA8P1	NADH:ubiquinone oxidoreductase subunit A8 pseudogene 1				
HGNC:7693	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	NDUFS2L	SDR22E1, CI-39k, COQ11	AF050641	NM_005002
HGNC:19252	NDUFA9P1	NADH:ubiquinone oxidoreductase subunit A9 pseudogene 1		dJ106I20.2	AF196991	NG_002366
HGNC:7684	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10		CI-42k	AF087661	NM_004544
HGNC:20371	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11		B14.7	AJ539081	NM_175614
HGNC:23987	NDUFA12	NADH:ubiquinone oxidoreductase subunit A12		DAP13, B17.2	BC005936	NM_018838
HGNC:39419	NDUFA12P1	NADH:ubiquinone oxidoreductase subunit A12 pseudogene 1				NG_027984
HGNC:17194	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13		CGI-39, CDA016, GRIM-19, GRIM19, B16.6	AF261134	NM_015965
HGNC:7694	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1		SDAP, FASN2A, ACP, ACP1	AF087660	NM_005003
HGNC:52265	NDUFAB1P1	NADH:ubiquinone oxidoreductase subunit AB1 pseudogene 1				
HGNC:18828	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1		CIA30, CGI-65	AF151823	NM_016013
HGNC:28086	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	NDUFA12L	B17.2L, MMTN, mimitin	AB183433	NM_174889
HGNC:54722	NDUFAF2P1	NDUFAF2 pseudogene 1				NG_006534
HGNC:54723	NDUFAF2P2	NDUFAF2 pseudogene 2				NG_007724
HGNC:29918	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	C3orf60	MGC10527, DKFZP564J0123, E3-3, 2P1		NM_199069
HGNC:21034	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	C6orf66	HSPC125, bA22L21.1, My013, HRPAP20	AF161474	NM_014165
HGNC:44194	NDUFAF4P1	NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 1				NR_036507
HGNC:44541	NDUFAF4P2	NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 2				
HGNC:44542	NDUFAF4P3	NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 3				
HGNC:44543	NDUFAF4P4	NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 4				
HGNC:15899	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	C20orf7	dJ842G6.1		NM_001039375
HGNC:28625	NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6	C8orf38	lncREST, MGC40214	BC028166	NM_152416
HGNC:28816	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	C2orf56	PRO1853, MidA		NM_144736
HGNC:33551	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	C17orf89		BC127837	NM_001086521
HGNC:7695	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1		MNLL, CI-MNLL	BC104672	NM_004545
HGNC:30893	NDUFB1P1	NADH:ubiquinone oxidoreductase subunit B1 pseudogene 1	NDUFB1P	bcm3095		NG_008709
HGNC:37815	NDUFB1P2	NADH:ubiquinone oxidoreductase subunit B1 pseudogene 2				NG_016728
HGNC:7697	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2		AGGG, CI-AGGG	AF050639	NM_004546
HGNC:40396	NDUFB2-AS1	NDUFB2 antisense RNA 1			AK129584	NR_024454
HGNC:52266	NDUFB2P1	NADH:ubiquinone oxidoreductase subunit B2 pseudogene 2				
HGNC:7698	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3		B12	AF047183	NM_002491
HGNC:13673	NDUFB3P1	NADH:ubiquinone oxidoreductase subunit B3 pseudogene 1				NG_000954
HGNC:13674	NDUFB3P2	NADH:ubiquinone oxidoreductase subunit B3 pseudogene 2				
HGNC:13675	NDUFB3P3	NADH:ubiquinone oxidoreductase subunit B3 pseudogene 3				
HGNC:13676	NDUFB3P4	NADH:ubiquinone oxidoreductase subunit B3 pseudogene 4				
HGNC:13677	NDUFB3P5	NADH:ubiquinone oxidoreductase subunit B3 pseudogene 5				NG_000958
HGNC:7699	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4		B15	AF044957	NM_004547
HGNC:45248	NDUFB4P1	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 1				NG_030111
HGNC:45250	NDUFB4P2	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 2				
HGNC:45251	NDUFB4P3	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 3				NG_030100
HGNC:45252	NDUFB4P4	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 4				
HGNC:45253	NDUFB4P5	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 5				
HGNC:45254	NDUFB4P6	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 6				
HGNC:45255	NDUFB4P7	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 7				
HGNC:45256	NDUFB4P8	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 8				
HGNC:45257	NDUFB4P9	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 9				
HGNC:45258	NDUFB4P10	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 10				
HGNC:45259	NDUFB4P11	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 11				
